Country,Languages Spoken
Afghanistan,others
Albania,others
Algeria,others
Andorra,others
Angola,portuguese
Antigua and Barbuda,english
Argentina,spanish
Armenia,others
Australia,english
Austria,dutch
Azerbaijan,others
Bahamas,english
Bahrain,english
Bangladesh,english
Barbados,english
Belarus,russian
Belgium,dutch
Belize,english
Benin,french
Bhutan,others
Bolivia,spanish
Bosnia and Herzegovina,others
Botswana,others
Brazil,brazilian
Brunei,others
Bulgaria,bulgarian
Burkina Faso,french
Burundi,french
Cambodia,others
Cameroon,english
Canada,english
Cape Verde,portuguese
Central African Republic,french
Chad,french
Chile,spanish
China,schinese
Colombia,spanish
Comoros,french
"Congo, Democratic Republic of the",french
"Congo, Republic of",french
Costa Rica,spanish
Côte d'Ivoire,french
Croatia,others
Cuba,spanish
Cyprus,greek
Czech Republic,czech
Denmark,danish
Djibouti,french
Dominica,english
Dominican Republic,spanish
East Timor,portuguese
Ecuador,spanish
Egypt,others
El Salvador,spanish
Equatorial Guinea,spanish
Eritrea,others
Estonia,others
Ethiopia,others
Fiji,english
Finland,finnish
France,french
Gabon,french
Gambia,english
Georgia,others
Germany,german
Ghana,english
Greece,greek
Grenada,english
Guatemala,spanish
Guinea,french
Guinea-Bissau,portuguese 
Guyana,english
Haiti,french
Honduras,spanish
Hungary,hungarian
Iceland,english
India,others
Indonesia,indonesian
Iran,others
Iraq,others
Ireland,english
Israel,others
Italy,italian
Jamaica,english
Japan,japanese
Jordan,others
Kazakhstan,others
Kenya,english
Kiribati,english
"Korea, North",koreana
"Korea, South",koreana
Kosovo,others
Kuwait,others
Kyrgyzstan,russian
Laos,others
Latvia,others
Lebanon,others
Lesotho,english
Liberia,others
Libya,others
Liechtenstein,german
Lithuania,others
Luxembourg,others
Macedonia,others
Madagascar,french
Malawi,others
Malaysia,others
Maldives,others
Mali,french
Malta,english
Marshall Islands,others
Mauritania,others
Mauritius,others
Mexico,spanish
Micronesia,english
Moldova,others
Monaco,french
Mongolia,others
Montenegro,others
Morocco,others
Mozambique,others
Myanmar,others
Namibia,others
Nauru,others
Nepal,others
Netherlands,dutch
New Zealand,english
Nicaragua,spanish
Niger,french
Nigeria,english
Norway,norwegian
Oman,others
Pakistan,english
Palau,others
Palestinian State (proposed),others
Panama,spanish
Papua New Guinea,others
Paraguay,spanish
Peru,spanish
Philippines,english
Poland,polish
Portugal,portuguese
Qatar,others
Romania,romanian
Russia,russian
Rwanda,others
St. Kitts and Nevis,english
St. Lucia,english
St. Vincent and the Grenadines,english
Samoa,others
San Marino,italian
São Tomé and Príncipe,portuguese
Saudi Arabia,others
Senegal,french
Serbia,others
Seychelles,others
Sierra Leone,english
Singapore,others
Slovakia,others
Slovenia,others
Solomon Islands,others
Somalia,others
South Africa,others
South Sudan,english
Spain,spanish
Sri Lanka,others
Sudan,others
Suriname,dutch
Swaziland,english
Sweden,swedish
Switzerland,dutch
Syria,others
Taiwan,schinese
Tajikistan,others
Tanzania,others
Thailand,thai
Togo,french
Tonga,others
Trinidad and Tobago,english
Tunisia,others
Turkey,turkish
Turkmenistan,others
Tuvalu,others
Uganda,english
Ukraine,ukranian
United Arab Emirates,others
United Kingdom,english
United States,english
Uruguay,spanish
Uzbekistan,russian
Vanuatu,others
Vatican City (Holy See),italian
Venezuela,spanish
Vietnam,viatnamese
Western Sahara (proposed state),others
Yemen,others
Zambia,english
Zimbabwe,english